[4/3/22 01:11PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:16PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:16PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:18PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:18PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:19PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:19PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:21PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 01:22PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[4/3/22 02:08PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
